id,value
1,76145000.0
2,75775000.0
4,67310000.0
5,70695000.0
6,61900000.0
10,61495000.0
11,59180000.0
15,77110000.0
17,60440000.0
23,60860000.0
25,72520000.0
28,61175000.0
31,64705000.0
35,47565000.0
39,26180000.0
40,22510000.0
43,62005000.0
48,48520000.0
51,37725000.0
55,59325000.0
56,59450000.0
57,49400000.0
61,47240000.0
62,51780000.0
69,39220000.0
70,35130000.0
71,38075000.0
74,43770000.0
80,48695000.0
82,44490000.0
84,37075000.0
85,38370000.0
88,38185000.0
90,33915000.0
91,34615000.0
95,31665000.0
101,33000000.0
104,17770000.0
111,32855000.0
113,32045000.0
116,39405000.0
120,33500000.0
122,35385000.0
130,24631875.0
136,28824083.33333333
138,28110000.0
141,24530000.0
144,26570000.0
146,24815000.0
147,22235000.0
150,23790000.0
151,28710000.0
152,9909000.0
158,23025000.0
159,27446666.666666664
160,33375000.0
162,34610000.0
168,34645000.0
172,26296666.666666664
177,33650000.0
181,28600000.0
183,33685000.0
184,33065000.0
186,29245000.0
187,32025000.0
192,31470000.0
193,28353333.333333336
194,21260000.0
200,23305000.0
201,12755000.0
204,22595000.0
206,25968833.333333336
208,26233333.333333336
219,18788000.0
221,7793000.0
227,29340000.0
231,6982000.0
233,29295000.0
235,29780000.0
237,27140000.0
238,26675000.0
239,26135000.0
255,21350000.0
258,24889166.666666664
260,22710000.0
272,21970000.0
273,21165000.0
275,26545000.0
279,20695000.0
281,22170000.0
284,21835000.0
286,21200000.0
292,18140000.0
300,12425000.0
301,12325000.0
303,15045000.0
304,16935000.0
315,6462000.0
318,4509000.0
320,17040000.0
322,21690000.0
323,24375000.0
326,24990000.0
328,23640000.0
337,22540000.0
339,20415000.0
342,21625000.0
343,23235000.0
360,17345000.0
364,20110000.0
365,17535000.0
367,18390000.0
368,16180000.0
369,15555000.0
372,18330000.0
376,18235000.0
379,17640000.0
380,22970000.0
383,15915000.0
385,12115000.0
386,14660000.0
390,15975000.0
391,15875000.0
393,15845000.0
400,10348000.0
403,6399000.0
413,22435000.0
416,20915000.0
423,15615000.0
424,17865000.0
426,17475000.0
427,18660000.0
428,13680000.0
429,19835000.0
431,12200000.0
432,17630000.0
433,16960000.0
439,9605000.0
443,17495000.0
444,18840000.0
446,19460000.0
449,18640000.0
456,16945000.0
457,12625000.0
464,14635000.0
468,18235000.0
472,12795000.0
474,17725000.0
483,12030000.0
488,13215000.0
494,13510000.0
499,9625000.0
505,12185000.0
506,14045000.0
510,13600000.0
511,11290000.0
512,5962000.0
517,10395000.0
521,13250000.0
522,8030000.0
523,12625000.0
526,11150000.0
531,10395000.0
540,3370000.0
547,5925000.0
555,17130000.0
556,17955000.0
563,5903000.0
564,17695000.0
566,10230000.0
573,9425000.0
574,16900000.0
581,17405000.0
588,12500000.0
590,15565000.0
591,15585000.0
595,15015000.0
596,13855000.0
597,17150000.0
599,14405000.0
600,10705000.0
602,11095000.0
603,14295000.0
606,15120000.0
613,10930000.0
615,12165000.0
620,16020000.0
623,11885000.0
624,10695000.0
628,10515000.0
630,13405000.0
635,15390000.0
636,14195000.0
638,15695000.0
662,10180000.0
664,10950000.0
665,10415000.0
670,12810000.0
672,11555000.0
677,12265000.0
680,10660000.0
695,9075000.0
705,8980000.0
713,6421000.0
716,6115000.0
717,7164000.0
720,13345000.0
723,13300000.0
725,14810000.0
731,7500000.0
733,7530000.0
734,12545000.0
738,13595000.0
740,12130000.0
743,12935000.0
747,13135000.0
750,13630000.0
752,12400000.0
753,9055000.0
756,10345000.0
758,9495000.0
768,15235000.0
770,12030000.0
772,9495000.0
